ref_year,provider_code,code_year,provider_name,tab1_academic_FTE,tab2_academic_FTE,tab3_senior_FTE,tab3_senior_headcount_mod,tab3_senior_headcount
2013,1019,1019-2013,James Cook University,888.71,753.43,200.24,220,220
2013,1034,1034-2013,Murdoch University,724.04,537.36,149.4,159,159
2013,1055,1055-2013,The University of Western Australia,1658.99,1533.53,481.35,520,520
2013,1058,1058-2013,University of Wollongong,1212.28,958.2,298.56,319,319
2013,2154,2154-2013,Federation University Australia,374.3,262.4,47.9,51,51
2013,2177,2177-2013,Swinburne University of Technology,1089.47,603.9,166.76,177,177
2013,2200,2200-2013,CQUniversity,486.16,399.81,89.55,95,95
2013,2201,2201-2013,University of Southern Queensland,666.06,455.47,106.02,108,108
2013,2235,2235-2013,Edith Cowan University,712.19,541.91,112.8,119,119
2013,2236,2236-2013,Curtin University,1828.02,1374.12,368.69,393,393
2013,2241,2241-2013,University of Canberra,511.02,392.66,124.2,135,135
2013,2246,2246-2013,Batchelor Institute of Indigenous Tertiary Education,44.18,31.95,1.4,1.4,<5
2013,2252,2252-2013,Avondale College of Higher Education,96.92,68.68,8,8,8
2013,3001,3001-2013,Charles Darwin University,269.24,250.31,45.57,56,56
2013,3003,3003-2013,Bond University,353,263.95,129.54,144,144
2013,3004,3004-2013,Western Sydney University,1419.95,1003.45,275.4,295,295
2013,3005,3005-2013,Charles Sturt University,1160.42,940.87,139.65,158,158
2013,3006,3006-2013,Australian Catholic University,970.22,602.44,141.3,147,147
2013,3007,3007-2013,Victoria University,825.49,610.9,131.62,144,144
2013,3010,3010-2013,The University of Adelaide,1748.1,1503.91,406.27,427,427
2013,3013,3013-2013,University of New South Wales,3332.61,2845.76,792.88,1614,1614
2013,3014,3014-2013,The University of Newcastle,1362.62,1066.18,267.85,281,281
2013,3016,3016-2013,University of Technology Sydney,1352.64,985.24,289.49,309,309
2013,3019,3019-2013,The University of Queensland,3356.73,2883.98,739.22,798,798
2013,3020,3020-2013,La Trobe University,1465.24,1123.81,224.9,247,247
2013,3025,3025-2013,Macquarie University,1399.11,1017.55,316.6,346,346
2013,3027,3027-2013,University of South Australia,1465.74,1110.04,211.38,225,225
2013,3029,3029-2013,Flinders University,1101.63,853.72,249.74,262,262
2013,3030,3030-2013,Deakin University,1801.24,1380.43,306.9,320,320
2013,3032,3032-2013,Griffith University,1857.67,1423.31,427.95,442,442
2013,3033,3033-2013,The Australian National University,1756.85,1634.32,558.56,595,595
2013,3034,3034-2013,RMIT University,1630.19,1155.5,300.15,318,318
2013,3035,3035-2013,Monash University,3260.46,2730.58,746.12,823,823
2013,3036,3036-2013,The University of Melbourne,3761.06,3188.16,916.84,1002,1002
2013,3038,3038-2013,Southern Cross University,497.53,363.74,75.6,81,81
2013,3039,3039-2013,The University of New England,607.57,487.69,120.64,130,130
2013,3040,3040-2013,The University of Sydney,3425.29,2736.14,915.31,995,995
2013,3042,3042-2013,Queensland University of Technology,2021.09,1403.94,409.95,762,762
2013,3043,3043-2013,University of the Sunshine Coast,374.38,263.35,57.3,59,59
2013,3044,3044-2013,The University of Notre Dame Australia,371.37,291.39,91.15,132,132
2013,3045,3045-2013,University of Tasmania,1240.57,1056.27,219.52,240,240
2013,4331,4331-2013,University of Divinity,104.6,91.92,20.7,24,24
2014,1019,1019-2014,James Cook University,914.31,765.01,208.09,233,233
2014,1034,1034-2014,Murdoch University,713.69,546.76,142.73,154,154
2014,1055,1055-2014,The University of Western Australia,1664.17,1538.01,475.51,520,520
2014,1058,1058-2014,University of Wollongong,1295.36,1029.04,302.2,320,320
2014,2154,2154-2014,Federation University Australia,548.42,387.16,71.2,75,75
2014,2177,2177-2014,Swinburne University of Technology,1122.61,704.59,179.16,191,191
2014,2200,2200-2014,CQUniversity,554.9,420.65,90.85,96,96
2014,2201,2201-2014,University of Southern Queensland,729.53,491.34,116.4,118,118
2014,2235,2235-2014,Edith Cowan University,658.96,473.91,104.2,112,112
2014,2236,2236-2014,Curtin University,1830.58,1391.56,373.79,398,398
2014,2241,2241-2014,University of Canberra,510.38,403.28,145.11,161,161
2014,2246,2246-2014,Batchelor Institute of Indigenous Tertiary Education,34.55,31.55,1.1,1.1,<5
2014,2252,2252-2014,Avondale College of Higher Education,97.55,68.97,9,9,9
2014,3001,3001-2014,Charles Darwin University,363.24,282.53,50.07,61,61
2014,3003,3003-2014,Bond University,358.48,234.86,110.35,122,122
2014,3004,3004-2014,Western Sydney University,1531.68,1073.6,292.15,308,308
2014,3005,3005-2014,Charles Sturt University,1129.72,918.74,156.5,175,175
2014,3006,3006-2014,Australian Catholic University,1081.26,675.17,172.93,196,196
2014,3007,3007-2014,Victoria University,908.54,669.07,159.44,174,174
2014,3010,3010-2014,The University of Adelaide,1785.15,1534.77,425.71,451,451
2014,3013,3013-2014,University of New South Wales,3581.3,3095.01,888.16,1720,1720
2014,3014,3014-2014,The University of Newcastle,1321.51,1059.63,275.58,293,293
2014,3016,3016-2014,University of Technology Sydney,1383.98,993.25,300.28,326,326
2014,3019,3019-2014,The University of Queensland,3376.15,2883.22,746.9,808,808
2014,3020,3020-2014,La Trobe University,1481.4,1115.22,226.4,249,249
2014,3025,3025-2014,Macquarie University,1492.36,1075.75,336.46,370,370
2014,3027,3027-2014,University of South Australia,1490.01,1126.9,215.38,230,230
2014,3029,3029-2014,Flinders University,1153.46,875.39,261.96,279,279
2014,3030,3030-2014,Deakin University,1929.09,1495.99,343.9,359,359
2014,3032,3032-2014,Griffith University,1846.53,1372.36,446.95,464,464
2014,3033,3033-2014,The Australian National University,1844.45,1599.98,526.65,549,549
2014,3034,3034-2014,RMIT University,1714.05,1158.84,318.45,341,341
2014,3035,3035-2014,Monash University,3087.73,2533.38,703.15,782,782
2014,3036,3036-2014,The University of Melbourne,3762.28,3155.97,936.45,1026,1026
2014,3038,3038-2014,Southern Cross University,463.31,326.03,68.6,74,74
2014,3039,3039-2014,The University of New England,548.33,512.43,127.49,133,133
2014,3040,3040-2014,The University of Sydney,3503.63,2752.33,943.79,1025,1025
2014,3042,3042-2014,Queensland University of Technology,2107.28,1453.51,438.05,853,853
2014,3043,3043-2014,University of the Sunshine Coast,412.82,303.55,64.5,67,67
2014,3044,3044-2014,The University of Notre Dame Australia,379.79,297.5,93.65,140,140
2014,3045,3045-2014,University of Tasmania,1268.46,1066.4,229.08,249,249
2014,4331,4331-2014,University of Divinity,110.27,94.87,20.8,27,27
2015,1019,1019-2015,James Cook University,894.16,732.11,209.83,236,236
2015,1034,1034-2015,Murdoch University,762.33,540.64,138.63,150,150
2015,1055,1055-2015,The University of Western Australia,1618.71,1496.28,476.7,521,521
2015,1058,1058-2015,University of Wollongong,1277.3,1031.54,315.79,336,336
2015,2154,2154-2015,Federation University Australia,502.8,348.8,65.9,69,69
2015,2177,2177-2015,Swinburne University of Technology,1327.1,732.6,193.16,208,208
2015,2200,2200-2015,CQUniversity,661.09,451.65,100.55,106,106
2015,2201,2201-2015,University of Southern Queensland,766.02,530.63,119.69,123,123
2015,2235,2235-2015,Edith Cowan University,693.98,487.07,100.88,112,112
2015,2236,2236-2015,Curtin University,1822.43,1386.33,365.35,390,390
2015,2241,2241-2015,University of Canberra,504.07,403.06,148.85,163,163
2015,2246,2246-2015,Batchelor Institute of Indigenous Tertiary Education,20.55,20.55,0.1,0.1,<5
2015,2252,2252-2015,Avondale College of Higher Education,97.64,70.51,10,10,10
2015,3001,3001-2015,Charles Darwin University,370.51,280.24,52.77,63,63
2015,3003,3003-2015,Bond University,384.79,247.04,111.29,122,122
2015,3004,3004-2015,Western Sydney University,1620.69,1085.7,312.5,330,330
2015,3005,3005-2015,Charles Sturt University,1011.81,817.95,151.99,179,179
2015,3006,3006-2015,Australian Catholic University,1083.4,703.05,178.73,206,206
2015,3007,3007-2015,Victoria University,847.91,620.58,145.27,160,160
2015,3010,3010-2015,The University of Adelaide,1780.5,1509.67,419.13,442,442
2015,3013,3013-2015,University of New South Wales,3477.97,2942.35,869.71,1798,1798
2015,3014,3014-2015,The University of Newcastle,1295.08,1034.61,281.81,297,297
2015,3016,3016-2015,University of Technology Sydney,1463.5,1040.58,322.64,351,351
2015,3019,3019-2015,The University of Queensland,3272.25,2834.35,755.79,827,827
2015,3020,3020-2015,La Trobe University,1477.74,973.56,205.95,228,228
2015,3025,3025-2015,Macquarie University,1524.4,1123.14,352.62,384,384
2015,3027,3027-2015,University of South Australia,1463.25,1125.82,217.48,232,232
2015,3029,3029-2015,Flinders University,1182.38,882.8,268,289,289
2015,3030,3030-2015,Deakin University,1967.23,1520.3,340.4,356,356
2015,3032,3032-2015,Griffith University,1847.73,1389.42,450.1,474,474
2015,3033,3033-2015,The Australian National University,1888.01,1605.85,541.97,562,562
2015,3034,3034-2015,RMIT University,1824.02,1238.23,346.92,367,367
2015,3035,3035-2015,Monash University,3227.26,2591.04,724.99,811,811
2015,3036,3036-2015,The University of Melbourne,3911.16,3234.98,953.94,1047,1047
2015,3038,3038-2015,Southern Cross University,447.27,319,77.1,80,80
2015,3039,3039-2015,The University of New England,551.35,513.54,126.6,132,132
2015,3040,3040-2015,The University of Sydney,3610.81,2743.81,974.6,1057,1057
2015,3042,3042-2015,Queensland University of Technology,2156.96,1515.36,454.97,895,895
2015,3043,3043-2015,University of the Sunshine Coast,449.09,330.83,76,79,79
2015,3044,3044-2015,The University of Notre Dame Australia,396.14,310.55,95.75,146,146
2015,3045,3045-2015,University of Tasmania,1260.41,1048.26,232.29,246,246
2015,4331,4331-2015,University of Divinity,104.3,88.75,19.6,26,26
2016,1019,1019-2016,James Cook University,865.42,717.24,219.59,247,247
2016,1034,1034-2016,Murdoch University,776.98,524.67,134.33,145,145
2016,1055,1055-2016,The University of Western Australia,1574.76,1446.13,475.35,518,518
2016,1058,1058-2016,University of Wollongong,1249.52,976.61,305.79,325,325
2016,2154,2154-2016,Federation University Australia,517.28,357.1,70.4,74,74
2016,2177,2177-2016,Swinburne University of Technology,1352.09,706.81,195.8,213,213
2016,2200,2200-2016,CQUniversity,702.73,516.32,104.35,108,108
2016,2201,2201-2016,University of Southern Queensland,787.63,546.67,132.28,135,135
2016,2235,2235-2016,Edith Cowan University,697.29,505.15,116.2,125,125
2016,2236,2236-2016,Curtin University,1862.44,1452.58,382.45,410,410
2016,2241,2241-2016,University of Canberra,491.67,397.23,140.75,150,150
2016,2246,2246-2016,Batchelor Institute of Indigenous Tertiary Education,17.9,17.9,1.1,1.1,<5
2016,2252,2252-2016,Avondale College of Higher Education,89.72,63.08,10,10,10
2016,3001,3001-2016,Charles Darwin University,391.55,286.99,58.87,67,67
2016,3003,3003-2016,Bond University,383.5,250.26,107.29,117,117
2016,3004,3004-2016,Western Sydney University,1668.26,1130.8,331.6,356,356
2016,3005,3005-2016,Charles Sturt University,1015.48,815.91,141.15,165,165
2016,3006,3006-2016,Australian Catholic University,1156.37,738.93,193.35,224,224
2016,3007,3007-2016,Victoria University,863.29,636.27,149.42,166,166
2016,3010,3010-2016,The University of Adelaide,1709.46,1458.48,431.82,459,459
2016,3013,3013-2016,University of New South Wales,3602.68,3028.85,915.47,1790,1790
2016,3014,3014-2016,The University of Newcastle,1335.13,1067.77,307.76,329,329
2016,3016,3016-2016,University of Technology Sydney,1557.29,1103.61,370.54,400,400
2016,3019,3019-2016,The University of Queensland,3217.69,2771.73,774.11,837,837
2016,3020,3020-2016,La Trobe University,1370.16,1019.59,223.07,249,249
2016,3025,3025-2016,Macquarie University,1696.3,1154.36,368.42,397,397
2016,3027,3027-2016,University of South Australia,1387.1,1063.24,222.98,237,237
2016,3029,3029-2016,Flinders University,1175.91,854.47,269.55,292,292
2016,3030,3030-2016,Deakin University,2074.93,1597.96,363.4,379,379
2016,3032,3032-2016,Griffith University,1873.39,1420.01,466.9,490,490
2016,3033,3033-2016,The Australian National University,1852.39,1601.38,579.38,602,602
2016,3034,3034-2016,RMIT University,1897.1,1316.1,373.25,391,391
2016,3035,3035-2016,Monash University,3374.89,2680.25,765.39,857,857
2016,3036,3036-2016,The University of Melbourne,4034.78,3332.78,979.23,1086,1086
2016,3038,3038-2016,Southern Cross University,447.86,310.72,73,77,77
2016,3039,3039-2016,The University of New England,567.63,487.42,124.58,134,134
2016,3040,3040-2016,The University of Sydney,3690.17,2776.74,1028.77,1114,1114
2016,3042,3042-2016,Queensland University of Technology,2173.18,1555.31,481.27,958,958
2016,3043,3043-2016,University of the Sunshine Coast,493.14,360.33,78.7,83,83
2016,3044,3044-2016,The University of Notre Dame Australia,395.41,310.5,99.7,153,153
2016,3045,3045-2016,University of Tasmania,1300.12,1094.89,247.08,261,261
2016,4331,4331-2016,University of Divinity,97.24,87.84,20.75,28,28
2016,4449,4449-2016,Torrens University Australia,327,32.3,7.6,9,9
2017,1019,1019-2017,James Cook University,878.34,735.6,226,254,254
2017,1034,1034-2017,Murdoch University,785.64,553.12,136.1,148,148
2017,1055,1055-2017,The University of Western Australia,1504.43,1373.6,454.74,497,497
2017,1058,1058-2017,University of Wollongong,1272.59,1002.93,313.04,336,336
2017,2154,2154-2017,Federation University Australia,556.25,366.16,76.1,79,79
2017,2177,2177-2017,Swinburne University of Technology,1364.54,704.16,206.3,234,234
2017,2200,2200-2017,CQUniversity,803.98,584.78,122.25,128,128
2017,2201,2201-2017,University of Southern Queensland,802.81,577.47,138.6,146,146
2017,2235,2235-2017,Edith Cowan University,718.34,536.69,124.5,133,133
2017,2236,2236-2017,Curtin University,1808.03,1434.34,401.09,431,431
