code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
4374-2017,PRV12095,Carnegie Mellon University,2017,university,university,private,not_for_profit,non_aligned,current,115.944,info_tech,0.876,0.539,0.217,1.0,0.944,0.192,0.308,0.226,0.28,97.79,98.59,98.55,7.69,1.6,2.17
2200-2017,PRV12073,Central Queensland University,2017,university,university,public,not_for_profit,RUN,current,13602.25,health,0.278,2.71,0.811,0.326,0.329,0.273,0.152,16.919,23.26,82.27,87.54,84.02,22.98,27.27,23.84
3001-2017,PRV12069,Charles Darwin University,2017,university,university,public,not_for_profit,IRU,current,5513.5,health,0.342,2.574,0.791,0.182,0.28,0.182,0.184,15.97,19.527,82.05,86.71,83.36,27.42,38.32,30.84
3005-2017,PRV12018,Charles Sturt University,2017,university,university,public,not_for_profit,RUN,current,21739.031,health,0.211,2.735,0.834,0.346,0.253,0.189,0.148,21.033,25.938,85.7,79.33,84.06,22.96,14.06,20.81
2236-2017,PRV12158,Curtin University,2017,university,university,public,not_for_profit,ATN,current,26644.875,health,0.222,2.782,0.836,0.124,0.17,0.207,0.222,14.737,18.576,85.66,86.5,85.8,15.17,16.93,15.42
3030-2017,PRV12124,Deakin University,2017,university,university,public,not_for_profit,non_aligned,current,38167.921,soc_cult,0.237,2.883,0.838,0.204,0.216,0.233,0.181,17.312,22.561,85.86,85.72,85.83,16.19,9.93,14.93
2235-2017,PRV12160,Edith Cowan University,2017,university,university,public,not_for_profit,non_aligned,current,17078.833,health,0.238,2.809,0.838,0.219,0.203,0.253,0.173,23.775,31.823,84.34,82.27,83.92,20.84,18.86,20.4
2154-2017,PRV12151,Federation University Australia,2017,university,university,public,not_for_profit,RUN,current,8209.603,mge_com,0.194,2.771,0.84,0.224,0.304,0.342,0.137,14.759,22.421,84.92,84.98,84.94,21.79,40.01,26.33
3029-2017,PRV12097,Flinders University,2017,university,university,public,not_for_profit,IRU,current,15583.042,health,0.335,2.594,0.793,0.235,0.154,0.288,0.23,13.354,18.758,87.21,91.1,87.81,18.6,10.9,17.52
3032-2017,PRV12076,Griffith University,2017,university,university,public,not_for_profit,IRU,current,32641.86,mge_com,0.239,2.833,0.834,0.145,0.151,0.243,0.236,17.365,22.944,84.79,90.52,85.66,17.09,12.04,16.23
1019-2017,PRV12077,James Cook University,2017,university,university,public,not_for_profit,IRU,current,11624.792,health,0.403,2.526,0.768,0.15,0.149,0.163,0.257,13.235,15.803,86.23,84.98,86.04,21.58,18.79,21.16
3020-2017,PRV12132,La Trobe University,2017,university,university,public,not_for_profit,IRU,current,27397.167,health,0.331,2.539,0.784,0.156,0.198,0.224,0.175,19.087,24.608,88.63,88.36,88.57,14.99,20.83,16.36
3025-2017,PRV12032,Macquarie University,2017,university,university,public,not_for_profit,IRU,former,31037.12,soc_cult,0.475,2.224,0.692,0.173,0.256,0.297,0.229,18.156,25.827,84.36,85.0,84.52,11.12,9.09,10.63
3035-2017,PRV12140,Monash University,2017,university,university,public,not_for_profit,Go8,current,49588.125,mge_com,0.274,2.837,0.836,0.261,0.343,0.209,0.223,13.437,16.982,92.63,92.02,92.42,9.19,5.08,7.78
1034-2017,PRV12163,Murdoch University,2017,university,university,public,not_for_profit,IRU,current,9810.271,soc_cult,0.312,2.456,0.789,0.114,0.12,0.296,0.173,12.487,17.736,83.28,89.42,84.01,17.66,17.27,17.62
