ref_year,provider_code,code_year,provider_name,Course_level,primary_BFOE,citizenship,EFTSL
2013,4403,4403-2013,Harvest West Bible College Inc,Undergrad,09 Society and Culture,International,3
2013,4404,4404-2013,Carrick Higher Education,Undergrad,08 Management and Commerce,Domestic,0.75
2013,4405,4405-2013,Australian Institute of Professional Counsellors,Undergrad,09 Society and Culture,Domestic,105.875
2013,4406,4406-2013,Canberra Institute of Technology,Undergrad,01 Natural and Physical Sciences,Domestic,12.125
2013,4406,4406-2013,Canberra Institute of Technology,Undergrad,02 Information Technology,Domestic,34.25
2013,4406,4406-2013,Canberra Institute of Technology,Undergrad,10 Creative Arts,Domestic,25.375
2013,4406,4406-2013,Canberra Institute of Technology,Undergrad,10 Creative Arts,International,0.25
2013,4407,4407-2013,Alphacrucis College,Postgrad by course,07 Education,Domestic,16.875
2013,4407,4407-2013,Alphacrucis College,Postgrad by course,08 Management and Commerce,Domestic,8
2013,4407,4407-2013,Alphacrucis College,Postgrad by course,09 Society and Culture,Domestic,49.75
2013,4407,4407-2013,Alphacrucis College,Undergrad,09 Society and Culture,Domestic,156
2013,4407,4407-2013,Alphacrucis College,Postgrad by course,08 Management and Commerce,International,0.625
2013,4407,4407-2013,Alphacrucis College,Postgrad by course,09 Society and Culture,International,5.5
2013,4407,4407-2013,Alphacrucis College,Undergrad,09 Society and Culture,International,91.5
2013,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,Undergrad,03 Engineering and Related Technologies,Domestic,122.483
