code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
3040-2013,PRV12057,The University of Sydney,2013,university,university,public,not_for_profit,Go8,current,38096.457,soc_cult,0.25,2.818,0.831,0.24,0.225,0.201,0.267,11.122,13.923,91.51,91.17,91.43,7.72,4.78,7.1
1055-2013,PRV12169,The University of Western Australia,2013,university,university,public,not_for_profit,Go8,current,18345.932,nat_phys_sci,0.332,2.574,0.793,0.12,0.158,0.076,0.29,11.058,11.963,90.67,91.73,90.83,8.1,6.02,7.84
4413-2013,PRV12106,University College London,2013,university,university,public,not_for_profit,non_aligned,current,36.625,engineering,1.0,0.0,0.0,1.0,0.655,0.104,0.188,2.354,2.628,99.01,97.4,98.04,25.0,0.0,15.79
2241-2013,PRV12003,University of Canberra,2013,university,university,public,not_for_profit,non_aligned,current,10132.127,mge_com,0.26,2.862,0.84,0.138,0.198,0.232,0.243,19.827,25.804,83.36,83.19,83.33,15.34,7.71,13.63
4331-2013,PRV12135,University of Divinity,2013,university,university,public,not_for_profit,non_aligned,current,640.901,soc_cult,1.0,0.0,0.0,0.487,0.128,0.121,0.198,6.127,6.972,93.1,97.66,93.69,21.84,5.0,20.8
3039-2013,PRV12054,University of New England,2013,university,university,public,not_for_profit,RUN,current,10696.625,soc_cult,0.372,2.594,0.783,0.219,0.051,0.197,0.199,17.606,21.933,80.16,84.95,80.41,22.16,11.42,21.63
3013-2013,PRV12055,University of New South Wales,2013,university,university,public,not_for_profit,Go8,current,35023.307,mge_com,0.25,2.801,0.833,0.203,0.245,0.146,0.238,10.509,12.307,93.13,92.8,93.05,8.65,4.7,7.87
3014-2013,PRV12056,University of Newcastle,2013,university,university,public,not_for_profit,IRU,former,21142.25,health,0.244,2.947,0.848,0.157,0.108,0.218,0.197,15.516,19.83,86.45,85.31,86.32,15.72,8.15,14.66
3027-2013,PRV12107,University of South Australia,2013,university,university,public,not_for_profit,ATN,current,20155.347,health,0.249,2.931,0.845,0.138,0.176,0.243,0.144,13.751,18.157,87.99,89.51,88.26,17.29,8.13,15.67
2201-2013,PRV12081,University of Southern Queensland,2013,university,university,public,not_for_profit,RUN,current,12363.875,mge_com,0.26,2.748,0.828,0.205,0.206,0.316,0.159,18.563,27.145,78.61,84.25,79.77,25.87,15.18,24.87
