ref_year,provider_code,code_year,provider_name,success_rate
2012,1034,1034-2012,Murdoch University,81.48
2012,1055,1055-2012,The University of Western Australia,91.01
2012,1058,1058-2012,University of Wollongong,89.63
2012,2148,2148-2012,The National Institute of Dramatic Art,96.93
2012,2154,2154-2012,Federation University Australia,83.62
2012,2170,2170-2012,Marcus Oldham College,95.72
2012,2177,2177-2012,Swinburne University of Technology,81.28
2012,2200,2200-2012,CQUniversity,82.75
2012,2201,2201-2012,University of Southern Queensland,79.68
2012,2235,2235-2012,Edith Cowan University,84.61
2012,2236,2236-2012,Curtin University,86.53
2012,2241,2241-2012,University of Canberra,83.61
2012,2252,2252-2012,Avondale College of Higher Education,91.52
2012,2271,2271-2012,"Australian Film, Television and Radio School",98.67
2012,3001,3001-2012,Charles Darwin University,84.17
2012,3003,3003-2012,Bond University,82.25
2012,3004,3004-2012,Western Sydney University,82.47
2012,3005,3005-2012,Charles Sturt University,83.85
2012,3006,3006-2012,Australian Catholic University,90.57
2012,3007,3007-2012,Victoria University,81.7
2012,3010,3010-2012,The University of Adelaide,88.36
2012,3013,3013-2012,University of New South Wales,93.24
2012,3014,3014-2012,The University of Newcastle,86.92
2012,3016,3016-2012,University of Technology Sydney,90.52
2012,3019,3019-2012,The University of Queensland,90.57
2012,3020,3020-2012,La Trobe University,88.5
2012,3025,3025-2012,Macquarie University,86.31
2012,3027,3027-2012,University of South Australia,88.95
2012,3029,3029-2012,Flinders University,87.39
2012,3030,3030-2012,Deakin University,85.32
2012,3032,3032-2012,Griffith University,88.78
2012,3033,3033-2012,The Australian National University,93.17
2012,3034,3034-2012,RMIT University,88.41
2012,3035,3035-2012,Monash University,91.62
2012,3036,3036-2012,The University of Melbourne,94.5
2012,3038,3038-2012,Southern Cross University,79.53
2012,3039,3039-2012,The University of New England,82.31
2012,3040,3040-2012,The University of Sydney,91.66
2012,3042,3042-2012,Queensland University of Technology,88.75
2012,3043,3043-2012,University of the Sunshine Coast,85.38
2012,3044,3044-2012,The University of Notre Dame Australia,91.15
2012,3045,3045-2012,University of Tasmania,87.49
2012,4331,4331-2012,University of Divinity,91.4
2012,4332,4332-2012,Sydney College of Divinity,89.41
2012,4333,4333-2012,Christian Heritage College,81.12
2012,4334,4334-2012,Tabor Adelaide,88.42
2012,4335,4335-2012,Australian College of Theology,91.71
2012,4336,4336-2012,Australian College of Applied Psychology,77.04
2012,4337,4337-2012,Eastern College Australia,82.81
2012,4338,4338-2012,Moore Theological College,96.56
2012,4339,4339-2012,Holmes Institute,66.2
2012,4340,4340-2012,Monash College,82.47
2012,4341,4341-2012,Harvest Bible College,77.98
2012,4342,4342-2012,Australian Lutheran College,96.54
2012,4343,4343-2012,Australian Institute of Music,100
2012,4344,4344-2012,South Aust Institute of Business & Technology,66.82
2012,4346,4346-2012,Excelsia College,91.61
2012,4347,4347-2012,Tabor College NSW,83.38
2012,4348,4348-2012,Deakin College,66.43
2012,4349,4349-2012,Sydney Institute of Business and Technology,71.8
2012,4350,4350-2012,Queensland Institute of Business and Technology,76.31
2012,4351,4351-2012,Navitas College of Public Safety Pty Ltd,70.95
2012,4352,4352-2012,The Australian College of Physical Education,82.03
2012,4355,4355-2012,Adelaide College of Divinity,87.77
2012,4357,4357-2012,Blue Mountains Intl Hotel Management School,93.25
2012,4359,4359-2012,The College of Law,99.36
2012,4360,4360-2012,Perth Bible College,72.6
2012,4361,4361-2012,Endeavour College of Natural Health,80.79
