provider_code,code_year,provider_name,attrition_rate
4389,4389-2016,Cairnmillar Institute School,4.2
4391,4391-2016,Eynesbury,17.44
4392,4392-2016,Gestalt Therapy Brisbane,12.77
4393,4393-2016,MIECAT,13.33
4394,4394-2016,William Angliss Institute of TAFE,27.49
4395,4395-2016,Adelaide Central School of Art,18
4396,4396-2016,LCI Melbourne,21.84
4401,4401-2016,Whitehouse Institute of Design; Australia,31.18
4402,4402-2016,Leo Cussen Institute,0
4405,4405-2016,Australian Institute of Professional Counsellors,39.23
4406,4406-2016,Canberra Institute of Technology,24.49
4407,4407-2016,Alphacrucis College,33.74
4409,4409-2016,Universal Business School Sydney (UBSS),34.03
4410,4410-2016,Australian Institute of Management SA Division Inc,60.09
4411,4411-2016,Stotts Colleges,62.21
4412,4412-2016,Morling College,24.42
4413,4413-2016,University College London,16.67
4415,4415-2016,Top Education Institute,10.56
4417,4417-2016,La Trobe Melbourne,21
4418,4418-2016,Australian School of Management,30
4419,4419-2016,National Art School,11.65
4420,4420-2016,Kent Institute Australia,39.84
4421,4421-2016,Le Cordon Bleu Australia,12.87
4423,4423-2016,Tabor College Perth,37.5
4424,4424-2016,Kaplan Higher Education,27.48
4425,4425-2016,Australian Institute of Business,23.42
4426,4426-2016,John Paul ll Institute for Marriage and Family,8.93
4428,4428-2016,Nan Tien Institute,39.29
4445,4445-2016,Investment Banking Institute Business School,100
4450,4450-2016,TAFE Queensland,35.61
4453,4453-2016,Australasian College of Health and Wellness,47.06
4458,4458-2016,Australian Institute of Management Education & Training,26.67
5555,5555-2016,Torrens University Australia,48.22
7001,7001-2016,Collarts,29.67
7007,7007-2016,Paramount College of Natural Medicine,38.1
7014,7014-2016,Jazz Music Institute,8
7035,7035-2016,Photography Studies College (Melbourne),18.75
7041,7041-2016,Sydney Institute of Traditional Chinese Medicine,13.45
7067,7067-2016,West Coast Institute of Training,43.48
7072,7072-2016,Central Institute of Technology,21.05
7073,7073-2016,Chisholm Institute,19.28
7075,7075-2016,TAFE NSW,23.66
7116,7116-2016,Study Group Australia Pty Ltd,32.7
7124,7124-2016,Academy of Information Technology,28.33
7125,7125-2016,Phoenix Institute of Australia Pty Ltd,66.67
7252,7252-2016,AIPE,53.25
7338,7338-2016,TAFE SA,21.91
1019,1019-2017,James Cook University,21.16
1034,1034-2017,Murdoch University,17.62
1055,1055-2017,The University of Western Australia,9.03
1058,1058-2017,University of Wollongong,14.63
2148,2148-2017,The National Institute of Dramatic Art,9.28
2154,2154-2017,Federation University Australia,26.33
2170,2170-2017,Marcus Oldham College,10.78
2177,2177-2017,Swinburne University of Technology,22.42
2200,2200-2017,CQUniversity,23.84
2201,2201-2017,University of Southern Queensland,25.84
2235,2235-2017,Edith Cowan University,20.4
2236,2236-2017,Curtin University,15.42
2241,2241-2017,University of Canberra,17.24
2252,2252-2017,Avondale College of Higher Education,20.3
2271,2271-2017,"Australian Film, Television and Radio School",7.89
3001,3001-2017,Charles Darwin University,30.84
3003,3003-2017,Bond University,7.04
3004,3004-2017,Western Sydney University,15.22
3005,3005-2017,Charles Sturt University,20.81
3006,3006-2017,Australian Catholic University,15.48
3007,3007-2017,Victoria University,19.95
3010,3010-2017,The University of Adelaide,9.68
3013,3013-2017,University of New South Wales,6.91
3014,3014-2017,The University of Newcastle,15.71
3016,3016-2017,University of Technology Sydney,8.45
3019,3019-2017,The University of Queensland,8.91
3020,3020-2017,La Trobe University,16.36
3025,3025-2017,Macquarie University,10.63
3027,3027-2017,University of South Australia,15.66
3029,3029-2017,Flinders University,17.52
3030,3030-2017,Deakin University,14.93
3032,3032-2017,Griffith University,16.23
3033,3033-2017,The Australian National University,9.29
3034,3034-2017,RMIT University,10.99
3035,3035-2017,Monash University,7.78
3036,3036-2017,The University of Melbourne,5.6
3038,3038-2017,Southern Cross University,26.74
3039,3039-2017,The University of New England,23.05
3040,3040-2017,The University of Sydney,7.27
3042,3042-2017,Queensland University of Technology,11.5
3043,3043-2017,University of the Sunshine Coast,20.04
3044,3044-2017,The University of Notre Dame Australia,10.87
3045,3045-2017,University of Tasmania,29.83
4331,4331-2017,University of Divinity,24.83
4332,4332-2017,Sydney College of Divinity,22.67
4333,4333-2017,Christian Heritage College,27.68
4334,4334-2017,Tabor Adelaide,27.13
4335,4335-2017,Australian College of Theology,21.02
4336,4336-2017,Australian College of Applied Psychology,30.68
4337,4337-2017,Eastern College Australia,26.32
4338,4338-2017,Moore Theological College,19.42
4339,4339-2017,Holmes Institute,25.09
4340,4340-2017,Monash College,14.45
4341,4341-2017,Harvest Bible College,22.16
4343,4343-2017,Australian Institute of Music,25
4344,4344-2017,South Aust Institute of Business & Technology,27.42
4346,4346-2017,Excelsia College,18.09
4347,4347-2017,Tabor College NSW,52.63
4348,4348-2017,Deakin College,25.44
4349,4349-2017,Sydney Institute of Business and Technology,16.24
4350,4350-2017,Queensland Institute of Business and Technology,17.55
4352,4352-2017,The Australian College of Physical Education,31.06
4355,4355-2017,Adelaide College of Divinity,19.05
4357,4357-2017,Blue Mountains Intl Hotel Management School,85.71
4359,4359-2017,The College of Law,16.08
4360,4360-2017,Perth Bible College,23.81
4361,4361-2017,Endeavour College of Natural Health,30.3
4362,4362-2017,International College of Hotel Management,14.95
4363,4363-2017,Northern Melbourne Institute of TAFE,23.43
4364,4364-2017,Edith Cowan College,18.16
4365,4365-2017,Curtin College,17.77
4366,4366-2017,Box Hill Institute,27.67
4367,4367-2017,Melbourne Institute of Technology,21.27
4368,4368-2017,Campion College,9.09
4370,4370-2017,Tabor College Tasmania,43.75
4371,4371-2017,SAE Creative Media Institute,25.71
4374,4374-2017,Carnegie Mellon University Australia,2.17
4375,4375-2017,Think: Colleges Pty Ltd,33.88
4377,4377-2017,UOW College,17.27
4378,4378-2017,JMC Academy,30.1
4380,4380-2017,UTS:INSEARCH,12.71
4381,4381-2017,"International College of Management, Sydney",20.26
4382,4382-2017,Australian Guild of Music Education Inc.,0
4383,4383-2017,Holmesglen Institute of TAFE,31.7
4384,4384-2017,Kaplan Business School,23.91
4385,4385-2017,Polytechnic West,80.6
4386,4386-2017,Macleay College,26.97
4387,4387-2017,Raffles College of Design and Commerce,16.28
4388,4388-2017,Australian Academy of Music and Performing Arts,11.11
4389,4389-2017,Cairnmillar Institute School,11.76
4391,4391-2017,Eynesbury,22.59
4392,4392-2017,Gestalt Therapy Brisbane,17.02
4393,4393-2017,MIECAT,14.29
4394,4394-2017,William Angliss Institute of TAFE,23.17
4395,4395-2017,Adelaide Central School of Art,31.37
4396,4396-2017,LCI Melbourne,30.15
4401,4401-2017,Whitehouse Institute of Design; Australia,20.74
4402,4402-2017,Leo Cussen Institute,0
4405,4405-2017,Australian Institute of Professional Counsellors,44.95
4406,4406-2017,Canberra Institute of Technology,25
4407,4407-2017,Alphacrucis College,37.26
4409,4409-2017,Universal Business School Sydney (UBSS),35.09
4411,4411-2017,Stotts Colleges,53.11
4412,4412-2017,Morling College,29.57
4413,4413-2017,University College London,7.69
4415,4415-2017,Top Education Institute,15.22
4417,4417-2017,La Trobe Melbourne,29.58
4418,4418-2017,Australian School of Management,98.04
4419,4419-2017,National Art School,11.43
4420,4420-2017,Kent Institute Australia,45.71
4421,4421-2017,Le Cordon Bleu Australia,12.73
4424,4424-2017,Kaplan Higher Education,25.98
4425,4425-2017,Australian Institute of Business,24.09
4426,4426-2017,John Paul ll Institute for Marriage and Family,3.85
4428,4428-2017,Nan Tien Institute,36.84
4450,4450-2017,TAFE Queensland,22.14
4453,4453-2017,Australasian College of Health and Wellness,75
4458,4458-2017,Australian Institute of Management Education & Training,45.78
4468,4468-2017,South Metropolitan TAFE,24.19
5555,5555-2017,Torrens University Australia,23.86
6043,6043-2017,The Cairnmillar Institute,0.91
7001,7001-2017,Collarts,33.46
7007,7007-2017,Paramount College of Natural Medicine,37.5
7014,7014-2017,Jazz Music Institute,11.76
7035,7035-2017,Photography Studies College (Melbourne),30
7041,7041-2017,Sydney Institute of Traditional Chinese Medicine,16.67
7067,7067-2017,West Coast Institute of Training,100
7072,7072-2017,Central Institute of Technology,44.86
7073,7073-2017,Chisholm Institute,29.35
7075,7075-2017,TAFE NSW,28.81
7116,7116-2017,Study Group Australia Pty Ltd,28.96
7124,7124-2017,Academy of Information Technology,20.73
7221,7221-2017,VIT (Victorian Institute of Technology),26.27
7252,7252-2017,AIPE,100
7338,7338-2017,TAFE SA,43.59
8071,8071-2017,North Metropolitan TAFE,10.89
