provider_code,code_year,provider_name,attrition_rate
3001,3001-2013,Charles Darwin University,24.53
3003,3003-2013,Bond University,10.44
3004,3004-2013,Western Sydney University,12.69
3005,3005-2013,Charles Sturt University,19.85
3006,3006-2013,Australian Catholic University,14.06
3007,3007-2013,Victoria University,19
3010,3010-2013,The University of Adelaide,10.94
3013,3013-2013,University of New South Wales,7.87
3014,3014-2013,The University of Newcastle,14.66
3016,3016-2013,University of Technology Sydney,9.19
3019,3019-2013,The University of Queensland,9.79
3020,3020-2013,La Trobe University,10.77
3025,3025-2013,Macquarie University,10.47
3027,3027-2013,University of South Australia,15.67
3029,3029-2013,Flinders University,14.91
3030,3030-2013,Deakin University,13.03
3032,3032-2013,Griffith University,13.71
3033,3033-2013,The Australian National University,8.72
3034,3034-2013,RMIT University,11.68
3035,3035-2013,Monash University,8.2
3036,3036-2013,The University of Melbourne,6.31
3038,3038-2013,Southern Cross University,24.78
3039,3039-2013,The University of New England,21.63
3040,3040-2013,The University of Sydney,7.1
3042,3042-2013,Queensland University of Technology,11.23
3043,3043-2013,University of the Sunshine Coast,20.47
3044,3044-2013,The University of Notre Dame Australia,12.14
3045,3045-2013,University of Tasmania,27.15
4331,4331-2013,University of Divinity,20.8
4332,4332-2013,Sydney College of Divinity,23.8
4333,4333-2013,Christian Heritage College,28.73
4334,4334-2013,Tabor Adelaide,24.32
4335,4335-2013,Australian College of Theology,26.28
4336,4336-2013,Australian College of Applied Psychology,37.03
4337,4337-2013,Eastern College Australia,27.22
4338,4338-2013,Moore Theological College,15.44
4339,4339-2013,Holmes Institute,34.14
4340,4340-2013,Monash College,13.01
4341,4341-2013,Harvest Bible College,20.08
4342,4342-2013,Australian Lutheran College,0
4343,4343-2013,Australian Institute of Music,22.64
4344,4344-2013,South Aust Institute of Business & Technology,24.19
4346,4346-2013,Excelsia College,16.11
4347,4347-2013,Tabor College NSW,27.27
4348,4348-2013,Deakin College,22.36
4349,4349-2013,Sydney Institute of Business and Technology,10.31
4350,4350-2013,Queensland Institute of Business and Technology,19.77
4351,4351-2013,Navitas College of Public Safety Pty Ltd,36.42
4352,4352-2013,The Australian College of Physical Education,32.68
4355,4355-2013,Adelaide College of Divinity,34.21
4357,4357-2013,Blue Mountains Intl Hotel Management School,10.34
4359,4359-2013,The College of Law,12.78
4360,4360-2013,Perth Bible College,48.84
4361,4361-2013,Endeavour College of Natural Health,26.09
4362,4362-2013,International College of Hotel Management,19.03
4363,4363-2013,Northern Melbourne Institute of TAFE,26.57
4364,4364-2013,Edith Cowan College,18.77
4365,4365-2013,Curtin College,27.99
4366,4366-2013,Box Hill Institute,22.85
4367,4367-2013,Melbourne Institute of Technology,22.3
4368,4368-2013,Campion College,16.67
4370,4370-2013,Tabor College Tasmania,35.71
4371,4371-2013,SAE Creative Media Institute,28.72
4374,4374-2013,Carnegie Mellon University Australia,6.67
4375,4375-2013,Think: Colleges Pty Ltd,32.87
4377,4377-2013,UOW College,9.72
4378,4378-2013,JMC Academy,28.28
4380,4380-2013,UTS:INSEARCH,13.89
4381,4381-2013,"International College of Management, Sydney",20.5
4382,4382-2013,Australian Guild of Music Education Inc.,50
4383,4383-2013,Holmesglen Institute of TAFE,31.06
4384,4384-2013,Kaplan Business School,34.22
4385,4385-2013,Polytechnic West,32.99
4386,4386-2013,Macleay College,24.7
4387,4387-2013,Raffles College of Design and Commerce,8.01
4388,4388-2013,Australian Academy of Music and Performing Arts,19.51
4389,4389-2013,Cairnmillar Institute School,8.26
4391,4391-2013,Eynesbury,18.89
4392,4392-2013,Gestalt Therapy Brisbane,5.26
4393,4393-2013,MIECAT,10.17
4394,4394-2013,William Angliss Institute of TAFE,20.04
4395,4395-2013,Adelaide Central School of Art,26
4396,4396-2013,LCI Melbourne,23.96
4401,4401-2013,Whitehouse Institute of Design; Australia,16.83
4402,4402-2013,Leo Cussen Institute,2.55
4403,4403-2013,Harvest West Bible College Inc,46.43
4404,4404-2013,Carrick Higher Education,29.69
4405,4405-2013,Australian Institute of Professional Counsellors,37.08
4406,4406-2013,Canberra Institute of Technology,50
4407,4407-2013,Alphacrucis College,24.08
4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,20.07
4409,4409-2013,Universal Business School Sydney (UBSS),25.8
4410,4410-2013,Australian Institute of Management SA Division Inc,25.45
4411,4411-2013,Stotts Colleges,40.22
4412,4412-2013,Morling College,45.38
4413,4413-2013,University College London,15.79
4414,4414-2013,Chifley Business School,35.29
4415,4415-2013,Top Education Institute,27.9
4417,4417-2013,La Trobe Melbourne,20
4418,4418-2013,Australian School of Management,10
7001,7001-2013,Collarts,12.5
7014,7014-2013,Jazz Music Institute,11.54
7073,7073-2013,Chisholm Institute,26.58
7075,7075-2013,TAFE NSW,24.19
7116,7116-2013,Study Group Australia Pty Ltd,5.81
7124,7124-2013,Academy of Information Technology,24.32
7125,7125-2013,Phoenix Institute of Australia Pty Ltd,32
1019,1019-2014,James Cook University,20.58
1034,1034-2014,Murdoch University,20.29
1055,1055-2014,The University of Western Australia,8.64
1058,1058-2014,University of Wollongong,11.73
2148,2148-2014,The National Institute of Dramatic Art,4.23
2154,2154-2014,Federation University Australia,24.16
2170,2170-2014,Marcus Oldham College,2.44
2177,2177-2014,Swinburne University of Technology,24.8
2200,2200-2014,CQUniversity,22.17
2201,2201-2014,University of Southern Queensland,25.31
2235,2235-2014,Edith Cowan University,19.98
2236,2236-2014,Curtin University,13.86
2241,2241-2014,University of Canberra,15.25
2252,2252-2014,Avondale College of Higher Education,17.93
2271,2271-2014,"Australian Film, Television and Radio School",4.25
3001,3001-2014,Charles Darwin University,25.46
3003,3003-2014,Bond University,10.3
3004,3004-2014,Western Sydney University,12.77
3005,3005-2014,Charles Sturt University,19.98
3006,3006-2014,Australian Catholic University,14.86
3007,3007-2014,Victoria University,20.72
3010,3010-2014,The University of Adelaide,9.91
3013,3013-2014,University of New South Wales,8.44
3014,3014-2014,The University of Newcastle,15.01
3016,3016-2014,University of Technology Sydney,9.67
3019,3019-2014,The University of Queensland,9.71
3020,3020-2014,La Trobe University,12.38
3025,3025-2014,Macquarie University,10.19
3027,3027-2014,University of South Australia,16.88
3029,3029-2014,Flinders University,15.76
3030,3030-2014,Deakin University,14.38
3032,3032-2014,Griffith University,14.1
3033,3033-2014,The Australian National University,8.89
3034,3034-2014,RMIT University,11.32
3035,3035-2014,Monash University,8.8
3036,3036-2014,The University of Melbourne,5.73
3038,3038-2014,Southern Cross University,25.3
3039,3039-2014,The University of New England,22.14
3040,3040-2014,The University of Sydney,7.73
3042,3042-2014,Queensland University of Technology,12.16
3043,3043-2014,University of the Sunshine Coast,21.08
3044,3044-2014,The University of Notre Dame Australia,12.12
3045,3045-2014,University of Tasmania,31.32
4331,4331-2014,University of Divinity,20.96
4332,4332-2014,Sydney College of Divinity,20.25
4333,4333-2014,Christian Heritage College,23.93
4334,4334-2014,Tabor Adelaide,29.77
4335,4335-2014,Australian College of Theology,25.99
