provider_code,code_year,provider_name,citizenship,attrition_rate
4394,4394-2012,William Angliss Institute of TAFE,Domestic,20.69
4395,4395-2012,Adelaide Central School of Art,Domestic,41.07
4396,4396-2012,LCI Melbourne,Domestic,15.79
4399,4399-2012,Open Colleges Pty Limited,Domestic,60
4401,4401-2012,Whitehouse Institute of Design; Australia,Domestic,20.59
4402,4402-2012,Leo Cussen Institute,Domestic,0
4403,4403-2012,Harvest West Bible College Inc,Domestic,30
4404,4404-2012,Carrick Higher Education,Domestic,1.41
4405,4405-2012,Australian Institute of Professional Counsellors,Domestic,44.29
4406,4406-2012,Canberra Institute of Technology,Domestic,34.04
4407,4407-2012,Alphacrucis College,Domestic,34.16
4408,4408-2012,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,23.53
4409,4409-2012,Universal Business School Sydney (UBSS),Domestic,0
4410,4410-2012,Australian Institute of Management SA Division Inc,Domestic,20.34
4412,4412-2012,Morling College,Domestic,53.53
4413,4413-2012,University College London,Domestic,24
4414,4414-2012,Chifley Business School,Domestic,24.24
4415,4415-2012,Top Education Institute,Domestic,0
7014,7014-2012,Jazz Music Institute,Domestic,14.29
7073,7073-2012,Chisholm Institute,Domestic,24
7075,7075-2012,TAFE NSW,Domestic,9.09
7116,7116-2012,Study Group Australia Pty Ltd,Domestic,33.33
7124,7124-2012,Academy of Information Technology,Domestic,0
1019,1019-2013,James Cook University,Domestic,23.01
1034,1034-2013,Murdoch University,Domestic,19.56
1055,1055-2013,The University of Western Australia,Domestic,8.1
1058,1058-2013,University of Wollongong,Domestic,10.98
2148,2148-2013,The National Institute of Dramatic Art,Domestic,5.17
2154,2154-2013,Federation University Australia,Domestic,22.84
2170,2170-2013,Marcus Oldham College,Domestic,1.33
2177,2177-2013,Swinburne University of Technology,Domestic,22.64
2200,2200-2013,CQUniversity,Domestic,26.48
2201,2201-2013,University of Southern Queensland,Domestic,25.87
2235,2235-2013,Edith Cowan University,Domestic,19.63
2236,2236-2013,Curtin University,Domestic,15.89
2241,2241-2013,University of Canberra,Domestic,15.34
2252,2252-2013,Avondale College of Higher Education,Domestic,15.61
2271,2271-2013,"Australian Film, Television and Radio School",Domestic,4.92
3001,3001-2013,Charles Darwin University,Domestic,26.08
3003,3003-2013,Bond University,Domestic,11
3004,3004-2013,Western Sydney University,Domestic,12.47
3005,3005-2013,Charles Sturt University,Domestic,20.03
3006,3006-2013,Australian Catholic University,Domestic,14.14
3007,3007-2013,Victoria University,Domestic,19.84
3010,3010-2013,The University of Adelaide,Domestic,13.07
3013,3013-2013,University of New South Wales,Domestic,8.65
3014,3014-2013,The University of Newcastle,Domestic,15.72
3016,3016-2013,University of Technology Sydney,Domestic,9.89
3019,3019-2013,The University of Queensland,Domestic,11.52
3020,3020-2013,La Trobe University,Domestic,11.56
3025,3025-2013,Macquarie University,Domestic,11.99
3027,3027-2013,University of South Australia,Domestic,17.29
3029,3029-2013,Flinders University,Domestic,15.64
3030,3030-2013,Deakin University,Domestic,13.78
3032,3032-2013,Griffith University,Domestic,15.15
3033,3033-2013,The Australian National University,Domestic,10.17
3034,3034-2013,RMIT University,Domestic,12.5
3035,3035-2013,Monash University,Domestic,9.06
3036,3036-2013,The University of Melbourne,Domestic,7.32
3038,3038-2013,Southern Cross University,Domestic,25.79
3039,3039-2013,The University of New England,Domestic,22.16
3040,3040-2013,The University of Sydney,Domestic,7.72
3042,3042-2013,Queensland University of Technology,Domestic,11.9
3043,3043-2013,University of the Sunshine Coast,Domestic,21.21
3044,3044-2013,The University of Notre Dame Australia,Domestic,12.03
3045,3045-2013,University of Tasmania,Domestic,27.15
4331,4331-2013,University of Divinity,Domestic,21.84
4332,4332-2013,Sydney College of Divinity,Domestic,24.63
4333,4333-2013,Christian Heritage College,Domestic,28.3
4334,4334-2013,Tabor Adelaide,Domestic,24.32
4335,4335-2013,Australian College of Theology,Domestic,26.24
4336,4336-2013,Australian College of Applied Psychology,Domestic,37.27
4337,4337-2013,Eastern College Australia,Domestic,27.39
4338,4338-2013,Moore Theological College,Domestic,14.39
4339,4339-2013,Holmes Institute,Domestic,37.68
4340,4340-2013,Monash College,Domestic,16.67
4341,4341-2013,Harvest Bible College,Domestic,20.08
4342,4342-2013,Australian Lutheran College,Domestic,0
4343,4343-2013,Australian Institute of Music,Domestic,22.89
4344,4344-2013,South Aust Institute of Business & Technology,Domestic,29.13
