ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2011,4401,4401-2011,Whitehouse Institute of Design; Australia,Domestic,92.93
2011,4402,4402-2011,Leo Cussen Institute,Domestic,98.02
2011,4403,4403-2011,Harvest West Bible College Inc,Domestic,78.65
2011,4404,4404-2011,Carrick Higher Education,Domestic,98.04
2011,4405,4405-2011,Australian Institute of Professional Counsellors,Domestic,73.95
2011,4406,4406-2011,Canberra Institute of Technology,Domestic,92.39
2011,4407,4407-2011,Alphacrucis College,Domestic,80.89
2011,4408,4408-2011,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,76.9
2011,4409,4409-2011,Universal Business School Sydney (UBSS),Domestic,47.37
2011,4410,4410-2011,Australian Institute of Management SA Division Inc,Domestic,94.7
2011,4411,4411-2011,Stotts Colleges,Domestic,0
2011,4412,4412-2011,Morling College,Domestic,86.58
2011,4413,4413-2011,University College London,Domestic,100
2011,4415,4415-2011,Top Education Institute,Domestic,85.71
2011,7014,7014-2011,Jazz Music Institute,Domestic,91.61
2011,7073,7073-2011,Chisholm Institute,Domestic,89.6
2011,7075,7075-2011,TAFE NSW,Domestic,100
2011,7116,7116-2011,Study Group Australia Pty Ltd,Domestic,9.52
2011,7124,7124-2011,Academy of Information Technology,Domestic,38.89
2012,1019,1019-2012,James Cook University,Domestic,85.75
2012,1034,1034-2012,Murdoch University,Domestic,80.76
2012,1055,1055-2012,The University of Western Australia,Domestic,90.63
2012,1058,1058-2012,University of Wollongong,Domestic,90.45
2012,2148,2148-2012,The National Institute of Dramatic Art,Domestic,96.82
2012,2154,2154-2012,Federation University Australia,Domestic,88.46
2012,2170,2170-2012,Marcus Oldham College,Domestic,95.72
2012,2177,2177-2012,Swinburne University of Technology,Domestic,81.01
2012,2200,2200-2012,CQUniversity,Domestic,83.43
2012,2201,2201-2012,University of Southern Queensland,Domestic,78.61
2012,2235,2235-2012,Edith Cowan University,Domestic,84.37
2012,2236,2236-2012,Curtin University,Domestic,86.37
2012,2241,2241-2012,University of Canberra,Domestic,83.38
2012,2252,2252-2012,Avondale College of Higher Education,Domestic,91.73
2012,2271,2271-2012,"Australian Film, Television and Radio School",Domestic,98.67
2012,3001,3001-2012,Charles Darwin University,Domestic,83.9
2012,3003,3003-2012,Bond University,Domestic,80.3
2012,3004,3004-2012,Western Sydney University,Domestic,82.31
2012,3005,3005-2012,Charles Sturt University,Domestic,84.35
2012,3006,3006-2012,Australian Catholic University,Domestic,90.61
2012,3007,3007-2012,Victoria University,Domestic,81.04
2012,3010,3010-2012,The University of Adelaide,Domestic,87.34
2012,3013,3013-2012,University of New South Wales,Domestic,93.3
2012,3014,3014-2012,The University of Newcastle,Domestic,86.97
2012,3016,3016-2012,University of Technology Sydney,Domestic,91.16
2012,3019,3019-2012,The University of Queensland,Domestic,89.99
2012,3020,3020-2012,La Trobe University,Domestic,88.84
2012,3025,3025-2012,Macquarie University,Domestic,87.19
2012,3027,3027-2012,University of South Australia,Domestic,88.95
2012,3029,3029-2012,Flinders University,Domestic,86.88
2012,3030,3030-2012,Deakin University,Domestic,86.01
2012,3032,3032-2012,Griffith University,Domestic,88.04
2012,3033,3033-2012,The Australian National University,Domestic,92.8
2012,3034,3034-2012,RMIT University,Domestic,88.37
2012,3035,3035-2012,Monash University,Domestic,91.69
2012,3036,3036-2012,The University of Melbourne,Domestic,94.36
2012,3038,3038-2012,Southern Cross University,Domestic,78.91
2012,3039,3039-2012,The University of New England,Domestic,82.24
2012,3040,3040-2012,The University of Sydney,Domestic,91.85
2012,3042,3042-2012,Queensland University of Technology,Domestic,88.45
2012,3043,3043-2012,University of the Sunshine Coast,Domestic,84.81
2012,3044,3044-2012,The University of Notre Dame Australia,Domestic,91.18
