ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2012,2252,2252-2012,Avondale College of Higher Education,International,88.81
2012,3001,3001-2012,Charles Darwin University,International,86.07
2012,3003,3003-2012,Bond University,International,87.19
2012,3004,3004-2012,Western Sydney University,International,84.14
2012,3005,3005-2012,Charles Sturt University,International,78.53
2012,3006,3006-2012,Australian Catholic University,International,90.25
2012,3007,3007-2012,Victoria University,International,85.37
2012,3010,3010-2012,The University of Adelaide,International,91.31
2012,3013,3013-2012,University of New South Wales,International,93.07
2012,3014,3014-2012,The University of Newcastle,International,86.46
2012,3016,3016-2012,University of Technology Sydney,International,88.56
2012,3019,3019-2012,The University of Queensland,International,92.55
2012,3020,3020-2012,La Trobe University,International,87.08
2012,3025,3025-2012,Macquarie University,International,84.23
2012,3027,3027-2012,University of South Australia,International,88.92
2012,3029,3029-2012,Flinders University,International,91.06
2012,3030,3030-2012,Deakin University,International,82.4
2012,3032,3032-2012,Griffith University,International,91.49
2012,3033,3033-2012,The Australian National University,International,94.09
2012,3034,3034-2012,RMIT University,International,88.53
2012,3035,3035-2012,Monash University,International,91.39
2012,3036,3036-2012,The University of Melbourne,International,94.87
2012,3038,3038-2012,Southern Cross University,International,85.31
2012,3039,3039-2012,The University of New England,International,83.26
2012,3040,3040-2012,The University of Sydney,International,90.96
2012,3042,3042-2012,Queensland University of Technology,International,90.44
2012,3043,3043-2012,University of the Sunshine Coast,International,92.58
2012,3044,3044-2012,The University of Notre Dame Australia,International,89.94
2012,3045,3045-2012,University of Tasmania,International,88.23
2012,4331,4331-2012,University of Divinity,International,97.06
2012,4332,4332-2012,Sydney College of Divinity,International,92.43
2012,4333,4333-2012,Christian Heritage College,International,81.67
2012,4335,4335-2012,Australian College of Theology,International,89.64
2012,4336,4336-2012,Australian College of Applied Psychology,International,89.15
2012,4337,4337-2012,Eastern College Australia,International,100
2012,4338,4338-2012,Moore Theological College,International,89.71
2012,4339,4339-2012,Holmes Institute,International,66.63
2012,4340,4340-2012,Monash College,International,82.28
2012,4341,4341-2012,Harvest Bible College,International,92.59
2012,4343,4343-2012,Australian Institute of Music,International,100
2012,4344,4344-2012,South Aust Institute of Business & Technology,International,69.62
2012,4346,4346-2012,Excelsia College,International,93.91
2012,4348,4348-2012,Deakin College,International,65.79
2012,4349,4349-2012,Sydney Institute of Business and Technology,International,72.94
2012,4350,4350-2012,Queensland Institute of Business and Technology,International,79.32
