"","provider_name","provider_code","prv","affiliation","affil_status","profit","type","ownership","code_year","ref_year","success_all","success_dom","success_int","attrition_all","attrition_dom","attrition_int","all_fte","salaried_fte","senior_fte","senior_headcount","sessional_fte","sessional_prop","senior_prop","eftsl","int_prop","postgrad_prop","first_bfoe","first_bfoe_prop","bfoe_entropy","bfoe_gini_impurity","ssr_all","ssr_salaried"
"287","Monash College",4340,"PRV12139","NUHEP","current","not_for_profit","pathway","private","4340-2015",2015,80.07,83.36,79.94,10.41,11.43,10.38,NA,NA,NA,NA,NA,NA,NA,1984,0.96,0,"mge_com",0.67685,1.40492858376395,0.5047181354,NA,NA
"288","Harvest Bible College",4341,"PRV12127","NUHEP","current","not_for_profit","faith_based","private","4341-2015",2015,77.98,76.16,89.05,28.21,28.95,0,NA,NA,NA,NA,NA,NA,NA,204,0.14,0.39,"soc_cult",1,0,0,NA,NA
"289","Australian Institute of Music",4343,"PRV12050","NUHEP","current","not_for_profit","other","private","4343-2015",2015,79.89,79.49,86.78,23.5,23.79,17.5,NA,NA,NA,NA,NA,NA,NA,1172,0.05,0.04,"creat_art",0.86094,0.581771732570266,0.2394446328,NA,NA
"290","South Aust Institute of Business & Technology",4344,"PRV12102","NUHEP","current","for_profit","pathway","private","4344-2015",2015,63.53,55.39,66.45,31.44,35.23,30.01,NA,NA,NA,NA,NA,NA,NA,957,0.74,0,"mge_com",0.39901,2.15074187037299,0.7461023081,NA,NA
"291","Excelsia College",4346,"PRV12064","NUHEP","current","not_for_profit","faith_based","private","4346-2015",2015,93.03,92.96,100,18.57,18.31,33.33,NA,NA,NA,NA,NA,NA,NA,228,0.01,0.64,"education",0.48005,1.44752882448806,0.6095157262,NA,NA
"292","Tabor College NSW",4347,"PRV12047","NUHEP","current","not_for_profit","faith_based","private","4347-2015",2015,93.13,92.86,100,16.67,9.09,100,NA,NA,NA,NA,NA,NA,NA,20,0.04,0,"soc_cult",1,0,0,NA,NA
"293","Deakin College",4348,"PRV12137","NUHEP","current","for_profit","pathway","private","4348-2015",2015,63.76,67.78,61.14,28.57,27.13,29.45,NA,NA,NA,NA,NA,NA,NA,2327,0.61,0,"mge_com",0.53164,1.93353573865892,0.6505876778,NA,NA
"294","Sydney Institute of Business and Technology",4349,"PRV12046","NUHEP","current","for_profit","pathway","private","4349-2015",2015,71.4,60.8,74.95,14.88,21.1,12,NA,NA,NA,NA,NA,NA,NA,2280,0.75,0,"mge_com",0.76376,1.13810422312769,0.395154281,NA,NA
"295","Queensland Institute of Business and Technology",4350,"PRV12078","NUHEP","current","for_profit","pathway","private","4350-2015",2015,74.1,67.52,76.62,22.7,29.98,20.21,NA,NA,NA,NA,NA,NA,NA,1929,0.72,0,"mge_com",0.60117,1.94065278571116,0.6068535938,NA,NA
"296","The Australian College of Physical Education",4352,"PRV12066","NUHEP","current","for_profit","for_profit","private","4352-2015",2015,79.86,79.69,87.83,26.51,25.93,55.56,NA,NA,NA,NA,NA,NA,NA,701,0.02,0.1,"health",0.27159,2.15290955329,0.7647825892,NA,NA
"297","Adelaide College of Divinity",4355,"PRV12088","NUHEP","current","not_for_profit","faith_based","private","4355-2015",2015,80.31,80.31,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,28,0,0.13,"soc_cult",1,0,0,NA,NA
"298","The College of Law",4359,"PRV12048","NUHEP","current","not_for_profit","other","private","4359-2015",2015,93.22,93.14,95.5,21.54,21.54,21.31,NA,NA,NA,NA,NA,NA,NA,1605,0.03,1,"soc_cult",1,0,0,NA,NA
"299","Perth Bible College",4360,"PRV12165","NUHEP","current","not_for_profit","faith_based","private","4360-2015",2015,71.29,71.55,70.42,43.75,48.84,0,NA,NA,NA,NA,NA,NA,NA,26,0.23,0.13,"soc_cult",1,0,0,NA,NA
"300","Endeavour College of Natural Health",4361,"PRV12070","NUHEP","current","for_profit","for_profit","private","4361-2015",2015,81.34,81.28,84.11,31.54,31.59,25,NA,NA,NA,NA,NA,NA,NA,2566,0.02,0,"health",1,0,0,NA,NA
"301","International College of Hotel Management",4362,"PRV12099","NUHEP","current","for_profit","for_profit","private","4362-2015",2015,84.92,86.29,83.94,15.19,6.06,21.74,NA,NA,NA,NA,NA,NA,NA,274,0.6,0,"mge_com",1,0,0,NA,NA
"302","Northern Melbourne Institute of TAFE",4363,"PRV12142","NUHEP","current","not_for_profit","TAFE","public","4363-2015",2015,84.49,87.18,81.08,30.95,28.34,34.29,NA,NA,NA,NA,NA,NA,NA,847,0.44,0,"creat_art",0.25608,2.73734511321103,0.8279902312,NA,NA
