"","provider_name","provider_code","prv","affiliation","affil_status","profit","type","ownership","code_year","ref_year","success_all","success_dom","success_int","attrition_all","attrition_dom","attrition_int","all_fte","salaried_fte","senior_fte","senior_headcount","sessional_fte","sessional_prop","senior_prop","eftsl","int_prop","postgrad_prop","first_bfoe","first_bfoe_prop","bfoe_entropy","bfoe_gini_impurity","ssr_all","ssr_salaried"
"358","The National Institute of Dramatic Art",2148,"PRV12052","NUHEP","current","not_for_profit","other","private","2148-2016",2016,98.39,98.38,98.61,2.74,2.74,NA,NA,NA,NA,NA,NA,NA,NA,203,0.04,0.18,"creat_art",1,0,0,NA,NA
"359","Federation University Australia",2154,"PRV12151","RUN","current","not_for_profit","university","public","2154-2016",2016,83.33,84.67,80.9,27.18,21.86,34.18,517.28,357.1,70.4,74,160.18,0.309658212186823,0.136096504794309,8707,0.35,0.27,"mge_com",0.24033,2.74760662951269,0.834552654,16.8322765233529,24.3825259031084
"360","Marcus Oldham College",2170,"PRV12133","NUHEP","current","not_for_profit","other","private","2170-2016",2016,98.61,98.61,NA,9.26,9.26,NA,NA,NA,NA,NA,NA,NA,NA,187,0,0.08,"agri_env",1,0,0,NA,NA
"361","Swinburne University of Technology",2177,"PRV12148","non_aligned","current","not_for_profit","university","public","2177-2016",2016,83.87,83.2,87.12,22.39,23.42,15.89,1352.09,706.81,195.8,213,645.28,0.477246337152113,0.14481284529876,20525,0.17,0.14,"mge_com",0.2482,2.77290653454138,0.8356498977,15.1802025013128,29.0389213508581
"362","CQUniversity",2200,"PRV12073","RUN","current","not_for_profit","university","public","2200-2016",2016,83.74,82.34,87.02,20.17,22.7,14.3,702.73,516.32,104.35,108,186.41,0.265265464687718,0.148492308568013,12583,0.3,0.28,"health",0.28709,2.69730302402719,0.8068624541,17.9058813484553,24.3705453982027
"363","University of Southern Queensland",2201,"PRV12081","RUN","current","not_for_profit","university","public","2201-2016",2016,78.61,77.75,83.35,24.65,25.08,19.91,787.63,546.67,132.28,135,240.96,0.305930449576578,0.167946878610515,12890,0.15,0.2,"education",0.20331,2.80505042623945,0.8430720449,16.3655523532623,23.5791245175334
"364","Edith Cowan University",2235,"PRV12160","non_aligned","current","not_for_profit","university","public","2235-2016",2016,83.01,83.83,79.72,20.21,21.54,14.33,697.29,505.15,116.2,125,192.14,0.275552496092013,0.166645154813636,16653,0.2,0.21,"health",0.23967,2.81535263489792,0.8394586975,23.8824592350385,32.9664456102148
"365","Curtin University",2236,"PRV12158","ATN","current","not_for_profit","university","public","2236-2016",2016,86.22,86.19,86.36,16.49,16.47,16.56,1862.44,1452.58,382.45,410,409.86,0.220066149782006,0.20534889714568,26660,0.18,0.14,"mge_com",0.22714,2.77906018084103,0.8354640226,14.3145550997616,18.3535502347547
"366","University of Canberra",2241,"PRV12003","non_aligned","current","not_for_profit","university","public","2241-2016",2016,83.25,84.38,78.88,17.39,18.31,14.18,491.67,397.23,140.75,150,94.44,0.192080053694551,0.286269245632233,10646,0.2,0.14,"mge_com",0.25135,2.86599858972957,0.8416202626,21.6527345577318,26.8005941142411
"367","Avondale College of Higher Education",2252,"PRV12015","NUHEP","current","not_for_profit","faith_based","private","2252-2016",2016,88.45,89.33,74.18,17.65,17.81,12.5,89.72,63.08,10,10,26.64,0.296923762817655,0.111457868925546,930,0.06,0.09,"education",0.43149,1.9502269455073,0.6832560184,10.3655818100758,14.7431832593532
"368","Australian Film, Television and Radio School",2271,"PRV12011","NUHEP","current","not_for_profit","government","public","2271-2016",2016,97.51,97.51,NA,11.96,11.96,NA,NA,NA,NA,NA,NA,NA,NA,334,0,0.19,"creat_art",1,0,0,NA,NA
"369","Charles Darwin University",3001,"PRV12069","IRU","current","not_for_profit","university","public","3001-2016",2016,81.64,83.07,78.53,29.51,26.29,36.64,391.55,286.99,58.87,67,104.56,0.267041246328694,0.15035116843315,5782,0.31,0.2,"health",0.31458,2.5814375914451,0.7960865806,14.7669518580003,20.1470434509913
"370","Bond University",3003,"PRV12072","non_aligned","current","not_for_profit","university","private","3003-2016",2016,90.53,89.87,91.83,8.06,8.64,7,383.5,250.26,107.29,117,133.24,0.347431551499348,0.279765319426336,4808,0.33,0.39,"soc_cult",0.32012,2.35857460982124,0.774149379,12.5371577574967,19.2120194997203
"371","Western Sydney University",3004,"PRV12061","IRU","current","not_for_profit","university","public","3004-2016",2016,81.79,81.6,83.65,15.86,15.63,18.86,1668.26,1130.8,331.6,356,537.46,0.32216800738494,0.198769975903037,31411,0.09,0.11,"soc_cult",0.29683,2.80684745546365,0.8229544651,18.8285998585352,27.7776795189247
"372","Charles Sturt University",3005,"PRV12018","RUN","current","not_for_profit","university","public","3005-2016",2016,84.07,84.82,81.13,20.51,22.71,10.13,1015.48,815.91,141.15,165,199.57,0.196527750423445,0.138998306219719,20579,0.2,0.3,"health",0.2202,2.74386806428432,0.8334851035,20.2652932603301,25.2221445992818
"373","Australian Catholic University",3006,"PRV12008","non_aligned","current","not_for_profit","university","public","3006-2016",2016,89.64,89.52,90.86,15.41,15.37,15.88,1156.37,738.93,193.35,224,417.44,0.360991724102147,0.167204268529969,23630,0.09,0.11,"health",0.46552,1.92363516259084,0.6741493228,20.4346359729152,31.97867186337
"374","Victoria University",3007,"PRV12152","non_aligned","current","not_for_profit","university","public","3007-2016",2016,81.28,80.95,82.62,18.52,18.49,18.66,863.29,636.27,149.42,166,227.02,0.262970728260492,0.173082046589211,15390,0.2,0.13,"health",0.24083,2.59819703250855,0.8082110966,17.8271496252708,24.1878447828752
"375","The University of Adelaide",3010,"PRV12105","Go8","current","not_for_profit","university","public","3010-2016",2016,89.65,88.93,91.76,9.21,11.05,4.2,1709.46,1458.48,431.82,459,250.98,0.146818293496192,0.252606086132463,19279,0.26,0.17,"soc_cult",0.1953,2.95861099820837,0.8514298788,11.2778304259825,13.2185563051944
"376","University of New South Wales",3013,"PRV12055","Go8","current","not_for_profit","university","public","3013-2016",2016,92.83,93.39,91.56,7.42,8.2,4.87,3602.68,3028.85,915.47,1790,573.83,0.159278648117512,0.254108052893957,37949,0.3,0.23,"mge_com",0.28243,2.77499222446534,0.8234645847,10.5335472481597,12.5291777407267
"377","The University of Newcastle",3014,"PRV12056","IRU","former","not_for_profit","university","public","3014-2016",2016,87.97,88.09,86.95,16.09,17.01,9.46,1335.13,1067.77,307.76,329,267.36,0.200250162905485,0.230509388598863,19826,0.1,0.13,"health",0.26414,2.95106934448624,0.8463671562,14.8494903118048,18.5676690673085
"378","University of Technology Sydney",3016,"PRV12060","ATN","current","not_for_profit","university","public","3016-2016",2016,91.54,92.08,90.01,9.73,9.59,10.11,1557.29,1103.61,370.54,400,453.68,0.291326599413083,0.237938983747407,29455,0.26,0.22,"mge_com",0.3001,2.86722243113642,0.8358726008,18.9142677343334,26.6896820434755
"379","The University of Queensland",3019,"PRV12080","Go8","current","not_for_profit","university","public","3019-2016",2016,90.76,89.9,93.33,9.09,11.06,4.04,3217.69,2771.73,774.11,837,445.96,0.138596322206303,0.240579421883401,36359,0.25,0.19,"health",0.22564,2.84206630618027,0.8361857357,11.2997212285832,13.1178000743218
"380","La Trobe University",3020,"PRV12132","IRU","current","not_for_profit","university","public","3020-2016",2016,88.45,88.61,87.81,14.12,14.13,14.11,1370.16,1019.59,223.07,249,350.57,0.255860629415543,0.162805803701757,26711,0.19,0.16,"health",0.31589,2.55675117967975,0.78912864,19.4948035265954,26.1977853843211
"381","Macquarie University",3025,"PRV12032","IRU","former","not_for_profit","university","public","3025-2016",2016,84.66,84.93,83.73,9.55,9.78,8.53,1696.3,1154.36,368.42,397,541.94,0.319483581913577,0.217190355479573,29180,0.22,0.16,"soc_cult",0.48212,2.2131720198763,0.6890657727,17.2021458468431,25.2780761634152
"382","University of South Australia",3027,"PRV12107","ATN","current","not_for_profit","university","public","3027-2016",2016,88.66,88.45,89.65,15.71,17.34,7.68,1387.1,1063.24,222.98,237,323.86,0.233479922139716,0.160752649412443,20396,0.18,0.14,"health",0.26008,2.91485938301441,0.8421894515,14.7040588277702,19.1828749858922
"383","Flinders University",3029,"PRV12097","IRU","current","not_for_profit","university","public","3029-2016",2016,87.39,86.83,90.73,16.26,17.36,8.33,1175.91,854.47,269.55,292,321.44,0.273354253301698,0.229226726535194,15308,0.14,0.23,"health",0.33417,2.57684919211138,0.7911960982,13.0180030784669,17.9151988952216
"384","Deakin University",3030,"PRV12124","non_aligned","current","not_for_profit","university","public","3030-2016",2016,84.69,84.96,83.49,14.72,15.76,9.85,2074.93,1597.96,363.4,379,476.97,0.22987281498653,0.175138438405151,36251,0.19,0.18,"soc_cult",0.23016,2.86687976227022,0.836285967,17.4709508272568,22.6857993942276
"385","Griffith University",3032,"PRV12076","IRU","current","not_for_profit","university","public","3032-2016",2016,86.39,85.82,89.4,16.2,17.06,12.12,1873.39,1420.01,466.9,490,453.38,0.24201047299281,0.249227336539642,31209,0.16,0.15,"mge_com",0.23979,2.85251609682426,0.8375380588,16.6591046178318,21.9780142393363
"386","The Australian National University",3033,"PRV12002","Go8","current","not_for_profit","university","public","3033-2016",2016,93.79,93.56,94.21,13.72,16.41,3.97,1852.39,1601.38,579.38,602,251.01,0.135506021950021,0.312774307786157,14773,0.34,0.36,"soc_cult",0.49783,2.13738366751138,0.6820520384,7.97510243523232,9.22516829234785
"387","RMIT University",3034,"PRV12145","ATN","current","not_for_profit","university","public","3034-2016",2016,90.86,90.39,92.15,11.07,12.13,8.31,1897.1,1316.1,373.25,391,581,0.306256918454483,0.196747667492489,34759,0.26,0.18,"mge_com",0.2641,2.96965858612815,0.8499438762,18.32217595277,26.4106070967252
"388","Monash University",3035,"PRV12140","Go8","current","not_for_profit","university","public","3035-2016",2016,91.99,92.09,91.78,8.51,10.09,4.9,3374.89,2680.25,765.39,857,694.64,0.205825967661168,0.226789613883712,46521,0.3,0.24,"mge_com",0.27651,2.79944347424773,0.8299545103,13.7844492709392,17.3569629698722
"389","The University of Melbourne",3036,"PRV12150","Go8","current","not_for_profit","university","public","3036-2016",2016,94.52,94.57,94.44,5.76,6.99,2.7,4034.78,3332.78,979.23,1086,702,0.173987181457229,0.242697247433565,44197,0.36,0.45,"mge_com",0.23047,2.90832804842609,0.839514745,10.9540049271584,13.2613013760284
"390","Southern Cross University",3038,"PRV12043","RUN","current","not_for_profit","university","public","3038-2016",2016,77.98,78.7,74.59,25.72,25.32,28.55,447.86,310.72,73,77,137.14,0.306211762604385,0.162997365248069,8632,0.18,0.16,"mge_com",0.2732,2.63619639889274,0.8098138627,19.2738802304291,27.7806385169928
"391","The University of New England",3039,"PRV12054","RUN","current","not_for_profit","university","public","3039-2016",2016,80.68,80.24,88.46,25.29,25.83,7.79,567.63,487.42,124.58,134,80.21,0.141306837200289,0.219473953103254,10625,0.05,0.21,"soc_cult",0.34905,2.5965093908769,0.7907106784,18.7181790955376,21.7984489762423
"392","The University of Sydney",3040,"PRV12057","Go8","current","not_for_profit","university","public","3040-2016",2016,91.77,92.08,91.13,7.38,8.91,4.03,3690.17,2776.74,1028.77,1114,913.43,0.247530601571201,0.278786614166827,43030,0.33,0.33,"health",0.21444,2.85403708187029,0.8376689796,11.660709398212,15.4965895258469
"393","Queensland University of Technology",3042,"PRV12079","ATN","former","not_for_profit","university","public","3042-2016",2016,89.21,89.02,90.2,11.52,11.8,10.14,2173.18,1555.31,481.27,958,617.87,0.284316071379269,0.221458875932965,34182,0.15,0.13,"mge_com",0.23959,2.97359279588811,0.8565900084,15.7290238268344,21.9776121802084
"394","University of the Sunshine Coast",3043,"PRV12082","RUN","current","not_for_profit","university","public","3043-2016",2016,86.3,86.2,86.87,21.88,22.71,15.33,493.14,360.33,78.7,83,132.81,0.26931500182504,0.159589568885104,8773,0.15,0.09,"health",0.31634,2.73752801252695,0.8141371625,17.7900798961755,24.3471262453862
"395","The University of Notre Dame Australia",3044,"PRV12170","non_aligned","current","not_for_profit","university","private","3044-2016",2016,93.17,93.14,96.1,11.47,11.46,12.5,395.41,310.5,99.7,153,84.91,0.214739131534357,0.252143344882527,8347,0.01,0.08,"health",0.38836,2.0772098750241,0.7236218778,21.1097341999444,26.8824476650564
"396","University of Tasmania",3045,"PRV12110","non_aligned","current","not_for_profit","university","public","3045-2016",2016,86.88,86.24,90.26,34.8,35.81,26.35,1300.12,1094.89,247.08,261,205.23,0.157854659569886,0.190043995938836,17999,0.16,0.13,"health",0.33777,2.77418224454522,0.8116345697,13.8441066978433,16.439094338244
"397","University of Divinity",4331,"PRV12135","non_aligned","current","not_for_profit","university","public","4331-2016",2016,91.59,91.31,93.4,20.75,21.53,8.33,97.24,87.84,20.75,28,9.39999999999999,0.0966680378445084,0.213389551624846,648,0.13,0.52,"soc_cult",1,0,0,6.66392431098313,7.37704918032787
"398","Sydney College of Divinity",4332,"PRV12045","NUHEP","current","not_for_profit","faith_based","private","4332-2016",2016,92.38,92.36,92.45,25,24.51,27.27,NA,NA,NA,NA,NA,NA,NA,508,0.22,0.32,"soc_cult",1,0,0,NA,NA
"399","Christian Heritage College",4333,"PRV12074","NUHEP","current","not_for_profit","faith_based","private","4333-2016",2016,84.85,84.63,87.36,28.4,24.52,85.71,NA,NA,NA,NA,NA,NA,NA,478,0.08,0.2,"soc_cult",0.50259,1.33283018139307,0.5714496566,NA,NA
"400","Tabor Adelaide",4334,"PRV12103","NUHEP","current","not_for_profit","faith_based","private","4334-2016",2016,87.42,87.42,NA,24.1,24.1,NA,NA,NA,NA,NA,NA,NA,NA,433,0,0.28,"soc_cult",0.5252,1.06708169200718,0.5078523235,NA,NA
"401","Australian College of Theology",4335,"PRV12010","NUHEP","current","not_for_profit","faith_based","private","4335-2016",2016,91.51,91.59,90.15,28.41,28.85,13.89,NA,NA,NA,NA,NA,NA,NA,1475,0.05,0.46,"soc_cult",1,0,0,NA,NA
"402","Australian College of Applied Psychology",4336,"PRV12009","NUHEP","current","for_profit","for_profit","private","4336-2016",2016,80.49,79.94,95.03,30.65,30.97,20.31,NA,NA,NA,NA,NA,NA,NA,2781,0.04,0.3,"soc_cult",1,0,0,NA,NA
"403","Eastern College Australia",4337,"PRV12149","NUHEP","current","not_for_profit","other","private","4337-2016",2016,87.06,86.03,94.44,24,25.22,10,NA,NA,NA,NA,NA,NA,NA,118,0.12,0.43,"soc_cult",0.73433,0.835182508024561,0.3901789022,NA,NA
"404","Moore Theological College",4338,"PRV12033","NUHEP","current","not_for_profit","faith_based","private","4338-2016",2016,95.96,95.87,98.64,11.81,12.71,0,NA,NA,NA,NA,NA,NA,NA,295,0.03,0.08,"soc_cult",1,0,0,NA,NA
"405","Holmes Institute",4339,"PRV12128","NUHEP","current","for_profit","for_profit","private","4339-2016",2016,66.16,72.54,66.11,32.17,44.64,32.03,NA,NA,NA,NA,NA,NA,NA,7054,0.99,0.58,"mge_com",0.97966,0.143345312828481,0.0398525688,NA,NA
"406","Monash College",4340,"PRV12139","NUHEP","current","not_for_profit","pathway","private","4340-2016",2016,80.92,86.43,80.76,14.71,9.46,14.97,NA,NA,NA,NA,NA,NA,NA,2376,0.97,0,"mge_com",0.61415,1.52965324225055,0.5648284138,NA,NA
"407","Harvest Bible College",4341,"PRV12127","NUHEP","current","not_for_profit","faith_based","private","4341-2016",2016,78.16,75.93,89.76,22.48,22.71,18.18,NA,NA,NA,NA,NA,NA,NA,229,0.16,0.37,"soc_cult",1,0,0,NA,NA
"408","Australian Institute of Music",4343,"PRV12050","NUHEP","current","not_for_profit","other","private","4343-2016",2016,79.8,79.52,83.45,24.88,25.18,19.05,NA,NA,NA,NA,NA,NA,NA,1068,0.07,0.04,"creat_art",0.8638,0.57419977585958,0.23529912,NA,NA
"409","South Aust Institute of Business & Technology",4344,"PRV12102","NUHEP","current","for_profit","pathway","private","4344-2016",2016,65.65,55.55,69.24,28.09,32.28,26.44,NA,NA,NA,NA,NA,NA,NA,996,0.74,0,"mge_com",0.36288,2.20901476970625,0.7646849969,NA,NA
"410","Excelsia College",4346,"PRV12064","NUHEP","current","not_for_profit","faith_based","private","4346-2016",2016,91.88,91.88,NA,24.1,24.1,NA,NA,NA,NA,NA,NA,NA,NA,130,0,0.45,"creat_art",0.55231,1.43378766498756,0.5928866998,NA,NA
"411","Tabor College NSW",4347,"PRV12047","NUHEP","current","not_for_profit","faith_based","private","4347-2016",2016,94.96,94.96,NA,23.08,16.67,100,NA,NA,NA,NA,NA,NA,NA,20,0.01,0,"soc_cult",1,0,0,NA,NA
"412","Deakin College",4348,"PRV12137","NUHEP","current","for_profit","pathway","private","4348-2016",2016,63.04,62.38,63.46,26.09,26.23,25.99,NA,NA,NA,NA,NA,NA,NA,2425,0.61,0,"mge_com",0.51742,1.96267031437986,0.6616938485,NA,NA
"413","Sydney Institute of Business and Technology",4349,"PRV12046","NUHEP","current","for_profit","pathway","private","4349-2016",2016,73.78,63.6,76.72,16.66,23.22,14.57,NA,NA,NA,NA,NA,NA,NA,961,0.78,0,"mge_com",0.73231,1.24713281619212,0.4378641094,NA,NA
"414","Queensland Institute of Business and Technology",4350,"PRV12078","NUHEP","current","for_profit","pathway","private","4350-2016",2016,76.33,65.88,80.93,19.21,30.94,14.37,NA,NA,NA,NA,NA,NA,NA,1851,0.69,0,"mge_com",0.57673,2.01073520670748,0.6307838952,NA,NA
"415","The Australian College of Physical Education",4352,"PRV12066","NUHEP","current","for_profit","for_profit","private","4352-2016",2016,77.58,77.31,93.98,25.18,23.96,87.5,NA,NA,NA,NA,NA,NA,NA,638,0.02,0.02,"health",0.33269,2.16673336458662,0.761630978,NA,NA
"416","Adelaide College of Divinity",4355,"PRV12088","NUHEP","current","not_for_profit","faith_based","private","4355-2016",2016,91.16,91.12,100,40,40,NA,NA,NA,NA,NA,NA,NA,NA,32,0.01,0.35,"soc_cult",1,0,0,NA,NA
"417","The College of Law",4359,"PRV12048","NUHEP","current","not_for_profit","other","private","4359-2016",2016,97.39,97.31,98.93,24.69,24.59,28.17,NA,NA,NA,NA,NA,NA,NA,2260,0.04,1,"soc_cult",1,0,0,NA,NA
"418","Perth Bible College",4360,"PRV12165","NUHEP","current","not_for_profit","faith_based","private","4360-2016",2016,84.67,84.06,90.91,46.15,45.83,50,NA,NA,NA,NA,NA,NA,NA,34,0.08,0.07,"soc_cult",1,0,0,NA,NA
"419","Endeavour College of Natural Health",4361,"PRV12070","NUHEP","current","for_profit","for_profit","private","4361-2016",2016,78.6,78.42,88.44,25.82,25.94,18.18,NA,NA,NA,NA,NA,NA,NA,2821,0.02,0,"health",1,0,0,NA,NA
"420","International College of Hotel Management",4362,"PRV12099","NUHEP","current","for_profit","for_profit","private","4362-2016",2016,86.45,87.43,85.83,18.09,22.22,16.42,NA,NA,NA,NA,NA,NA,NA,390,0.62,0,"mge_com",1,0,0,NA,NA
"421","Northern Melbourne Institute of TAFE",4363,"PRV12142","NUHEP","current","not_for_profit","TAFE","public","4363-2016",2016,86.77,89.48,83.73,25.56,27.11,23.81,NA,NA,NA,NA,NA,NA,NA,812,0.47,0.01,"creat_art",0.21019,2.87070992419202,0.8491548282,NA,NA
"422","Edith Cowan College",4364,"PRV12166","NUHEP","current","for_profit","pathway","private","4364-2016",2016,66.36,56.13,67.05,15.45,29.63,14.6,NA,NA,NA,NA,NA,NA,NA,542,0.94,0,"health",0.26725,2.42351452474655,0.7967613493,NA,NA
"423","Curtin College",4365,"PRV12157","NUHEP","current","for_profit","pathway","private","4365-2016",2016,73.91,67.94,76.93,10.83,17.27,8.32,NA,NA,NA,NA,NA,NA,NA,1203,0.66,0,"mge_com",0.3074,2.37016766342012,0.785855239,NA,NA
"424","Box Hill Institute",4366,"PRV12117","NUHEP","current","not_for_profit","TAFE","public","4366-2016",2016,85.08,86.78,73.86,24.68,22.45,42.86,NA,NA,NA,NA,NA,NA,NA,461,0.13,0.04,"creat_art",0.62158,1.80499877337358,0.5798007809,NA,NA
"425","Melbourne Institute of Technology",4367,"PRV12138","NUHEP","current","for_profit","for_profit","private","4367-2016",2016,77.66,75.11,78.23,23.59,30.9,20.26,NA,NA,NA,NA,NA,NA,NA,1245,0.82,0.41,"info_tech",0.4779,1.25016705949119,0.549867605,NA,NA
"426","Campion College",4368,"PRV12017","NUHEP","current","not_for_profit","faith_based","private","4368-2016",2016,96.09,96.05,100,24,17.39,100,NA,NA,NA,NA,NA,NA,NA,90,0.01,0,"soc_cult",1,0,0,NA,NA
"427","SAE Creative Media Institute",4371,"PRV12042","NUHEP","current","for_profit","for_profit","private","4371-2016",2016,82.32,81.96,86.31,27.68,28.62,13.1,NA,NA,NA,NA,NA,NA,NA,2663,0.08,0,"creat_art",1,0,0,NA,NA
"428","Carnegie Mellon University Australia",4374,"PRV12095","non_aligned","current","not_for_profit","university","public","4374-2016",2016,99.24,100,99.2,3.94,40,2.46,NA,NA,NA,NA,NA,NA,NA,108,0.95,1,"info_tech",0.84871,0.613059137425342,0.2568026718,NA,NA
"429","Think: Colleges Pty Ltd",4375,"PRV12058","NUHEP","current","for_profit","for_profit","private","4375-2016",2016,80.37,79.66,85.45,32.91,32.91,NA,NA,NA,NA,NA,NA,NA,NA,2312,0.12,0.02,"health",0.364,2.10884663237179,0.7431941761,NA,NA
"430","UOW College",4377,"PRV12027","NUHEP","current","for_profit","pathway","private","4377-2016",2016,90.4,94.02,88.74,16.26,18.92,15.12,NA,NA,NA,NA,NA,NA,NA,146,0.68,0,"mge_com",0.70608,0.873731277345359,0.4150620672,NA,NA
"431","JMC Academy",4378,"PRV12029","NUHEP","current","for_profit","for_profit","private","4378-2016",2016,84.74,84.05,99.7,27.48,27.48,NA,NA,NA,NA,NA,NA,NA,NA,2579,0.07,0,"creat_art",0.85445,0.598591216340263,0.248730395,NA,NA
"432","UTS:INSEARCH",4380,"PRV12022","NUHEP","current","not_for_profit","pathway","private","4380-2016",2016,84.95,81.21,86.84,12.7,16.08,11.17,NA,NA,NA,NA,NA,NA,NA,2396,0.66,0,"mge_com",0.3751,2.11666486737381,0.7423220074,NA,NA
"433","International College of Management, Sydney",4381,"PRV12025","NUHEP","current","for_profit","for_profit","private","4381-2016",2016,84.61,83.88,85.44,22.57,21.28,24.22,NA,NA,NA,NA,NA,NA,NA,791,0.47,0.12,"mge_com",0.93538,0.345517918276764,0.1208885112,NA,NA
"434","Australian Guild of Music Education Inc.",4382,"PRV12114","NUHEP","current","not_for_profit","other","private","4382-2016",2016,100,100,NA,83.33,83.33,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,"creat_art",1,0,0,NA,NA
"435","Holmesglen Institute of TAFE",4383,"PRV12129","NUHEP","current","not_for_profit","TAFE","public","4383-2016",2016,82.05,87.21,79.05,32.8,33.49,32.35,NA,NA,NA,NA,NA,NA,NA,946,0.64,0.04,"mge_com",0.38523,2.05341297326734,0.7238609926,NA,NA
"436","Kaplan Business School",4384,"PRV12094","NUHEP","current","for_profit","for_profit","private","4384-2016",2016,75.61,72.05,75.82,24.31,25.47,24.19,NA,NA,NA,NA,NA,NA,NA,1626,0.94,0.45,"mge_com",1,0,0,NA,NA
"437","Macleay College",4386,"PRV12031","NUHEP","current","for_profit","for_profit","private","4386-2016",2016,81.97,81.86,86.75,25.1,25.5,12.5,NA,NA,NA,NA,NA,NA,NA,307,0.02,0,"mge_com",0.60087,0.970439401578123,0.4796504862,NA,NA
"438","Raffles College of Design and Commerce",4387,"PRV12039","NUHEP","current","for_profit","for_profit","private","4387-2016",2016,81.81,81.81,NA,58.44,21.51,81.33,NA,NA,NA,NA,NA,NA,NA,171,0,0,"creat_art",0.46432,1.78657108345532,0.6733820219,NA,NA
"439","Australian Academy of Music and Performing Arts",4388,"PRV12026","NUHEP","current","not_for_profit","other","private","4388-2016",2016,88.61,88.31,100,23.08,23.6,0,NA,NA,NA,NA,NA,NA,NA,128,0.02,0.03,"creat_art",1,0,0,NA,NA
"440","Eynesbury",4391,"PRV12096","NUHEP","current","for_profit","for_profit","private","4391-2016",2016,73.48,72.09,73.5,17.44,60,16.85,NA,NA,NA,NA,NA,NA,NA,413,0.99,0,"mge_com",0.61755,1.3182159156725,0.539231595,NA,NA
"441","Gestalt Therapy Brisbane",4392,"PRV12075","NUHEP","current","for_profit","for_profit","private","4392-2016",2016,93.29,93.29,NA,12.77,12.77,NA,NA,NA,NA,NA,NA,NA,NA,25,0,1,"soc_cult",1,0,0,NA,NA
"442","MIECAT",4393,"PRV12136","NUHEP","current","not_for_profit","other","private","4393-2016",2016,98.96,98.96,NA,13.33,13.33,NA,NA,NA,NA,NA,NA,NA,NA,96,0,1,"soc_cult",1,0,0,NA,NA
"443","William Angliss Institute of TAFE",4394,"PRV12153","NUHEP","current","not_for_profit","TAFE","public","4394-2016",2016,84.59,85.04,84.38,27.49,29.25,26.49,NA,NA,NA,NA,NA,NA,NA,811,0.67,0,"mge_com",0.73943,0.917059216616241,0.3934821421,NA,NA
"444","Adelaide Central School of Art",4395,"PRV12087","NUHEP","current","not_for_profit","other","private","4395-2016",2016,93.72,93.72,NA,18,18,NA,NA,NA,NA,NA,NA,NA,NA,93,0,0,"creat_art",1,0,0,NA,NA
"445","LCI Melbourne",4396,"PRV12113","NUHEP","current","for_profit","for_profit","private","4396-2016",2016,88.45,88.47,87.93,21.84,22.35,0,NA,NA,NA,NA,NA,NA,NA,218,0.03,0,"creat_art",1,0,0,NA,NA
"446","Whitehouse Institute of Design; Australia",4401,"PRV12065","NUHEP","current","for_profit","for_profit","private","4401-2016",2016,93.66,93.85,90.01,31.18,28.93,63.64,NA,NA,NA,NA,NA,NA,NA,331,0.05,0.05,"creat_art",1,0,0,NA,NA
"447","Leo Cussen Institute",4402,"PRV12155","NUHEP","current","not_for_profit","other","private","4402-2016",2016,100,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,447,0.11,1,"soc_cult",1,0,0,NA,NA
"448","Australian Institute of Professional Counsellors",4405,"PRV12083","NUHEP","current","for_profit","for_profit","private","4405-2016",2016,85.15,85.15,NA,39.23,39.23,NA,NA,NA,NA,NA,NA,NA,NA,148,0,0.22,"soc_cult",1,0,0,NA,NA
"449","Canberra Institute of Technology",4406,"PRV12004","NUHEP","current","not_for_profit","TAFE","public","4406-2016",2016,83.7,83.21,100,24.49,21.28,100,NA,NA,NA,NA,NA,NA,NA,69,0.03,0,"info_tech",0.61372,0.962356893208046,0.4741355232,NA,NA
"450","Alphacrucis College",4407,"PRV12006","NUHEP","current","not_for_profit","faith_based","private","4407-2016",2016,74.45,82.74,65.28,33.74,33.74,NA,NA,NA,NA,NA,NA,NA,NA,500,0.47,0.15,"soc_cult",0.76115,0.918545107093048,0.3755221298,NA,NA
"451","Universal Business School Sydney (UBSS)",4409,"PRV12021","NUHEP","current","for_profit","for_profit","private","4409-2016",2016,56.27,NA,56.27,34.03,NA,34.03,NA,NA,NA,NA,NA,NA,NA,715,1,0.27,"mge_com",1,0,0,NA,NA
"452","Stotts Colleges",4411,"PRV12146","NUHEP","current","for_profit","for_profit","private","4411-2016",2016,52.51,33.33,52.55,62.21,50,62.3,NA,NA,NA,NA,NA,NA,NA,232,1,0,"mge_com",1,0,0,NA,NA
"453","Morling College",4412,"PRV12034","NUHEP","current","not_for_profit","faith_based","private","4412-2016",2016,93.05,93.76,82.35,24.42,26.92,0,NA,NA,NA,NA,NA,NA,NA,69,0.06,1,"education",0.64019,0.942525361973428,0.4606935278,NA,NA
"454","Top Education Institute",4415,"PRV12059","NUHEP","current","for_profit","for_profit","private","4415-2016",2016,79.28,69.31,79.91,10.56,18.18,10.46,NA,NA,NA,NA,NA,NA,NA,1000,0.94,0.58,"mge_com",0.95635,0.25878401663199,0.083489355,NA,NA
